timestamp,reel_id,image_count,sync_mode,duration_sec,tempo_bpm,beat_count,avg_energy,avg_slide_duration,slide_durations
2026-07-09T09:07:59.985055+00:00,6f542634-7b74-11f1-8cf5-04ecd80f8fe4,10,beat_sync,113.499,109.96,204,0.1739,11.35,11.35|11.35|11.35|11.35|11.35|11.35|11.35|11.35|11.35|11.35
2026-07-09T09:27:25.649623+00:00,f08c2cc6-7b77-11f1-b783-04ecd80f8fe4,7,beat_sync,25.12,109.96,45,0.1876,3.589,2.694|3.808|3.286|3.82|3.274|3.82|4.419
2026-07-09T09:44:27.157660+00:00,66432ef0-7b7a-11f1-afa6-04ecd80f8fe4,9,beat_sync,25.12,109.96,45,0.1876,2.791,2.148|2.74|2.717|2.74|2.717|2.728|2.717|2.74|3.874
2026-07-09T10:00:17.741713+00:00,ab9bdc64-7b7c-11f1-bc17-04ecd80f8fe4,7,beat_sync,9.384,140.62,18,0.0653,1.341,0.939|1.301|1.323|0.917|1.301|1.28|2.323
2026-07-20T09:52:28.626771+00:00,7a3c23ab-8420-11f1-8b43-04ecd80f8fe4,2,beat_sync,2.976,122.28,4,0.0635,1.488,0.661|2.315
2026-07-20T09:57:25.577013+00:00,3d1c8c87-8421-11f1-bf83-04ecd80f8fe4,4,beat_sync,3.312,96.98,4,0.0649,0.828,0.468|0.6|0.58|1.664
2026-07-20T10:08:21.739900+00:00,66432ef0-7b7a-11f1-afa6-04ecd80f8fe4,9,beat_sync,25.12,109.96,45,0.1876,2.791,2.148|2.74|2.717|2.74|2.717|2.728|2.717|2.74|3.874
2026-07-20T10:18:06.646879+00:00,215c496f-8424-11f1-908d-04ecd80f8fe4,6,beat_sync,7.8,140.62,15,0.1192,1.3,0.832|1.28|1.28|0.875|1.28|2.253
2026-07-20T10:18:08.906347+00:00,215c496f-8424-11f1-908d-04ecd80f8fe4,6,beat_sync,7.8,140.62,15,0.1192,1.3,0.832|1.28|1.28|0.875|1.28|2.253
2026-07-20T10:19:20.473801+00:00,571c074b-8424-11f1-ac2f-04ecd80f8fe4,4,beat_sync,5.062,112.35,9,0.1277,1.265,0.998|1.579|0.882|1.602
2026-07-20T10:22:30.157469+00:00,a2e25025-8424-11f1-9c16-04ecd80f8fe4,5,beat_sync,5.016,105.47,8,0.1464,1.003,0.478|1.132|1.143|1.098|1.165
2026-07-20T10:23:45.083311+00:00,01af3751-8425-11f1-aeba-04ecd80f8fe4,5,beat_sync,5.944,92.29,9,0.1292,1.189,1.138|1.265|1.277|1.219|1.045
2026-07-20T10:24:18.404939+00:00,203747a2-8425-11f1-ad01-04ecd80f8fe4,5,beat_sync,6.409,103.36,10,0.1196,1.282,0.871|1.242|1.242|1.347|1.707
2026-07-20T10:24:33.372843+00:00,27f1d9b0-8425-11f1-a871-04ecd80f8fe4,5,beat_sync,5.341,95.7,8,0.1314,1.068,0.48|1.126|1.26|1.26|1.215
2026-07-20T10:36:53.467030+00:00,6ec0c1f2-8426-11f1-99ef-04ecd80f8fe4,5,beat_sync,6.672,108.17,10,0.0711,1.334,1.024|1.131|1.045|1.045|2.427
2026-07-20T11:43:35.934505+00:00,13fda858-8430-11f1-b14a-04ecd80f8fe4,5,beat_sync,6.552,87.89,8,0.0731,1.31,0.485|1.428|1.262|1.324|2.052
